alias,run_dir,prepared_dir,dataset,task_name,target_column,model_name,selected_baseline,model_family,seed,primary_metric,primary_score,secondary_metric,secondary_score,accuracy,f1,macro_f1,minority_f1,precision,recall,threshold,risk_note,resolved_device,overfit_gap
run-20260329-090603-band-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090603-band-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,cnn_lstm,cnn_lstm,dl,42,accuracy,0.98,f1,0.9788735912659806,0.98,0.9788735912659806,0.9788735912659806,0.9655172413793104,0.981547619047619,0.976923076923077,,train_val_gap_stable=0.022,cuda,0.012380952380952381
run-20260329-090645-band-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090645-band-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,cnn_lstm,cnn_lstm,dl,52,accuracy,0.98,f1,0.9779364049318624,0.98,0.9779364049318624,0.9779364049318624,0.955223880597015,0.9779411764705882,0.9781385281385282,,train_val_gap_stable=-0.025,cuda,-0.02523809523809528
run-20260329-084557-burst-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084557-burst-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,random_forest,random_forest,ml,42,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,no_major_overfit_signal_detected,cuda,0.0
run-20260329-084649-burst-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084649-burst-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,random_forest,random_forest,ml,52,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,no_major_overfit_signal_detected,cuda,0.0
run-20260329-085202-burst-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085202-burst-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,transformer_1d,transformer_1d,dl,52,accuracy,0.9933333333333333,f1,0.9932411674347158,0.9933333333333333,0.9932411674347158,0.9932411674347158,0.989247311827957,0.9929078014184397,0.9937106918238993,,train_val_gap_stable=0.022,cuda,0.00952380952380949
run-20260329-084508-burst-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084508-burst-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,bagged_logistic_regression,bagged_logistic_regression,ml,52,accuracy,0.9933333333333333,f1,0.9931154405763157,0.9933333333333333,0.9931154405763157,0.9931154405763157,0.989247311827957,0.9929078014184397,0.9934640522875817,,no_major_overfit_signal_detected,cuda,-0.0019047619047618536
run-20260329-085412-burst-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085412-burst-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,52,accuracy,0.9933333333333333,f1,0.9931154405763157,0.9933333333333333,0.9931154405763157,0.9931154405763157,0.989247311827957,0.9929078014184397,0.9934640522875817,,train_val_gap_stable=0.015,cuda,-0.006190476190476191
run-20260329-084726-burst-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084726-burst-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,cnn_1d,cnn_1d,dl,42,accuracy,0.9866666666666667,f1,0.9868569516159877,0.9866666666666667,0.9868569516159877,0.9868569516159877,0.9879518072289156,0.9883040935672515,0.9857741838873914,,train_val_gap_stable=0.004,cuda,-0.004285714285714337
run-20260329-085050-burst-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085050-burst-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,transformer_1d,transformer_1d,dl,42,accuracy,0.98,f1,0.9798798798798799,0.98,0.9798798798798799,0.9798798798798799,0.9761904761904762,0.9801587301587302,0.9797135778267854,,train_val_gap_stable=0.018,cuda,0.0023809523809523725
run-20260329-084500-burst-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084500-burst-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,bagged_logistic_regression,bagged_logistic_regression,ml,42,accuracy,0.98,f1,0.97984575800246,0.98,0.97984575800246,0.97984575800246,0.975609756097561,0.9827586206896551,0.9778376759508834,,no_major_overfit_signal_detected,cuda,-0.0033333333333332993
run-20260329-084806-burst-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084806-burst-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,cnn_1d,cnn_1d,dl,52,accuracy,0.98,f1,0.9797630977672666,0.98,0.9797630977672666,0.9797630977672666,0.968421052631579,0.979591836734694,0.9808854359353805,,train_val_gap_stable=0.007,cuda,0.0004761904761904079
run-20260329-085308-burst-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085308-burst-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,42,accuracy,0.9733333333333334,f1,0.9744649316037094,0.9733333333333334,0.9744649316037094,0.9744649316037094,0.988235294117647,0.974704202366381,0.975071469411092,,train_val_gap_stable=0.009,cuda,0.0071428571428571175
run-20260329-084942-burst-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084942-burst-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,cnn_lstm,cnn_lstm,dl,52,accuracy,0.9733333333333334,f1,0.9728596279941121,0.9733333333333334,0.9728596279941121,0.9728596279941121,0.9574468085106383,0.972877358490566,0.9733924195874687,,train_val_gap_stable=0.031,cuda,0.020952380952380945
run-20260329-084852-burst-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084852-burst-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,burst,PU_burst_duration,cnn_lstm,cnn_lstm,dl,42,accuracy,0.9266666666666666,f1,0.9311454641594824,0.9266666666666666,0.9311454641594824,0.9311454641594824,0.9879518072289156,0.9369307832422588,0.9312287293419369,,train_val_gap_stable=-0.010,cuda,-0.00666666666666671
run-20260329-085750-drift-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085750-drift-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,cnn_lstm,cnn_lstm,dl,42,accuracy,0.8728813559322034,f1,0.8694978986949791,0.8728813559322034,0.8694978986949791,0.8694978986949791,0.8484848484848485,0.8732142857142857,0.8669885864793678,0.45,train_val_gap_stable=0.011,cuda,-0.005023112480739611
run-20260329-085636-drift-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085636-drift-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,cnn_1d,cnn_1d,dl,42,accuracy,0.864406779661017,f1,0.8618671349136668,0.864406779661017,0.8618671349136668,0.8618671349136668,0.8431372549019607,0.861867134913667,0.861867134913667,0.45,train_val_gap_stable=0.003,cuda,-0.036517719568567086
run-20260329-090108-drift-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090108-drift-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,42,accuracy,0.864406779661017,f1,0.860396332446022,0.864406779661017,0.860396332446022,0.860396332446022,0.8367346938775511,0.8657476775546898,0.8571846649107404,0.4,train_val_gap_stable=-0.043,cuda,-0.039537750385208015
run-20260329-090147-drift-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090147-drift-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,52,accuracy,0.864406779661017,f1,0.8585555888522625,0.864406779661017,0.8585555888522625,0.8585555888522625,0.8297872340425532,0.8585555888522625,0.8585555888522625,0.45,train_val_gap_stable=0.026,cuda,0.029491525423728793
run-20260329-085423-drift-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085423-drift-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,bagged_logistic_regression,bagged_logistic_regression,ml,42,accuracy,0.8559322033898306,f1,0.8528786211954528,0.8559322033898306,0.8528786211954528,0.8528786211954528,0.8316831683168315,0.8538235294117646,0.8520632133450394,0.55,no_major_overfit_signal_detected,cuda,-0.04681047765793522
run-20260329-085925-drift-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085925-drift-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,transformer_1d,transformer_1d,dl,42,accuracy,0.8559322033898306,f1,0.8528786211954528,0.8559322033898306,0.8528786211954528,0.8528786211954528,0.8316831683168315,0.8538235294117646,0.8520632133450394,0.4,train_val_gap_stable=-0.049,cuda,-0.038335901386748805
run-20260329-090023-drift-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090023-drift-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,transformer_1d,transformer_1d,dl,52,accuracy,0.8559322033898306,f1,0.8452518707089407,0.8559322033898306,0.8452518707089407,0.8452518707089407,0.8045977011494252,0.8605769230769231,0.8371291579262811,0.35,train_val_gap_stable=0.065,cuda,-0.009275808936825891
run-20260329-085517-drift-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085517-drift-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,random_forest,random_forest,ml,42,accuracy,0.8305084745762712,f1,0.8273339186420836,0.8305084745762712,0.8273339186420836,0.8273339186420836,0.8039215686274509,0.8273339186420837,0.8273339186420837,0.6,no_major_overfit_signal_detected,cuda,0.1610169491525424
run-20260329-085709-drift-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085709-drift-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,cnn_1d,cnn_1d,dl,52,accuracy,0.8305084745762712,f1,0.8231944860653282,0.8305084745762712,0.8231944860653282,0.8231944860653282,0.7872340425531915,0.8231944860653282,0.8231944860653282,0.45,train_val_gap_stable=0.071,cuda,0.029491525423728793
run-20260329-085432-drift-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085432-drift-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,bagged_logistic_regression,bagged_logistic_regression,ml,52,accuracy,0.8220338983050848,f1,0.8198473282442748,0.8220338983050848,0.8198473282442748,0.8198473282442748,0.7999999999999999,0.8204022988505747,0.8341324543002697,0.6,no_major_overfit_signal_detected,cuda,0.04098613251155614
run-20260329-085602-drift-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085602-drift-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,random_forest,random_forest,ml,52,accuracy,0.8135593220338984,f1,0.8108974358974359,0.8135593220338984,0.8108974358974359,0.8108974358974359,0.7884615384615385,0.810468794938165,0.8234941564279292,0.6,no_major_overfit_signal_detected,cuda,0.2033898305084746
run-20260329-085829-drift-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-085829-drift-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,drift,PU_drift_type,cnn_lstm,cnn_lstm,dl,52,accuracy,0.8135593220338984,f1,0.80804495711328,0.8135593220338984,0.80804495711328,0.80804495711328,0.7755102040816325,0.8053848405033655,0.8127060233742882,0.6,train_val_gap_stable=0.070,cuda,0.05491525423728816
run-20260329-083827-presence-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-083827-presence-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,bagged_logistic_regression,bagged_logistic_regression,ml,42,accuracy,0.5733333333333334,f1,0.5705850778314547,0.5733333333333334,0.5705850778314547,0.5705850778314547,0.5362318840579711,0.5705850778314547,0.5705850778314547,0.5,no_major_overfit_signal_detected,cuda,-0.02523809523809517
run-20260329-084056-presence-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084056-presence-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,cnn_1d,cnn_1d,dl,52,accuracy,0.5533333333333333,f1,0.3562231759656653,0.5533333333333333,0.3562231759656653,0.3562231759656653,0.0,0.27666666666666667,0.5,0.35,train_val_gap_stable=0.024,cuda,-0.04571428571428576
run-20260329-084201-presence-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084201-presence-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,cnn_lstm,cnn_lstm,dl,52,accuracy,0.5533333333333333,f1,0.3562231759656653,0.5533333333333333,0.3562231759656653,0.3562231759656653,0.0,0.27666666666666667,0.5,0.35,train_val_gap_stable=0.032,cuda,-0.04571428571428576
run-20260329-084331-presence-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084331-presence-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,transformer_1d,transformer_1d,dl,52,accuracy,0.5533333333333333,f1,0.3562231759656653,0.5533333333333333,0.3562231759656653,0.3562231759656653,0.0,0.27666666666666667,0.5,0.35,train_val_gap_stable=0.046,cuda,-0.04571428571428576
run-20260329-084028-presence-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084028-presence-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,cnn_1d,cnn_1d,dl,42,accuracy,0.54,f1,0.35064935064935066,0.54,0.35064935064935066,0.35064935064935066,0.0,0.27,0.5,0.35,train_val_gap_stable=0.019,cuda,-0.018571428571428572
run-20260329-084129-presence-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084129-presence-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,cnn_lstm,cnn_lstm,dl,42,accuracy,0.54,f1,0.35064935064935066,0.54,0.35064935064935066,0.35064935064935066,0.0,0.27,0.5,0.35,train_val_gap_stable=-0.019,cuda,-0.018571428571428572
run-20260329-084246-presence-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084246-presence-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,transformer_1d,transformer_1d,dl,42,accuracy,0.54,f1,0.35064935064935066,0.54,0.35064935064935066,0.35064935064935066,0.0,0.27,0.5,0.35,train_val_gap_stable=-0.006,cuda,-0.018571428571428572
run-20260329-084450-presence-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084450-presence-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,52,accuracy,0.5133333333333333,f1,0.4994285714285714,0.5133333333333333,0.4994285714285714,0.4994285714285714,0.41600000000000004,0.501311844077961,0.5012587664089192,0.5,train_val_gap_stable=0.052,cuda,0.020476190476190537
run-20260329-084407-presence-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-084407-presence-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,42,accuracy,0.5066666666666667,f1,0.5066666666666666,0.5066666666666667,0.5066666666666666,0.5066666666666666,0.5066666666666666,0.5099302200751477,0.5099302200751477,0.5,train_val_gap_stable=0.044,cuda,0.006190476190476191
run-20260329-083839-presence-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-083839-presence-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,bagged_logistic_regression,bagged_logistic_regression,ml,52,accuracy,0.5,f1,0.49819349658771583,0.5,0.49819349658771583,0.49819349658771583,0.46808510638297873,0.4992887624466572,0.49928070490918897,0.5,no_major_overfit_signal_detected,cuda,-0.01904761904761909
run-20260329-083916-presence-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-083916-presence-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,random_forest,random_forest,ml,42,accuracy,0.47333333333333333,f1,0.46474547179186054,0.47333333333333333,0.46474547179186054,0.46474547179186054,0.39694656488549623,0.46535923753665687,0.46618357487922707,0.45,no_major_overfit_signal_detected,cuda,0.5
run-20260329-083955-presence-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-083955-presence-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,presence,PU_Presence,random_forest,random_forest,ml,52,accuracy,0.46,f1,0.4250153802470304,0.46,0.4250153802470304,0.4250153802470304,0.2831858407079646,0.42872073578595316,0.4386800935083618,0.35,no_major_overfit_signal_detected,cuda,0.45952380952380956
run-20260325-121558-vsb-fault-detection-smoke-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260325-121558-vsb-fault-detection-smoke-random-forest,/Users/orange/Desktop/OTHER/graduation_project/electronic-diagnoise/artifacts/prepared_vsb_fault_detection,vsb_power_line_fault,vsb_fault_detection_smoke,target,random_forest,random_forest,ml,42,accuracy,0.9743589743589743,f1,0.49350649350649345,0.9743589743589743,0.49350649350649345,0.49350649350649345,0.0,0.48717948717948717,0.5,0.5,no_major_overfit_signal_detected,mps,0.07894736842105265
run-20260325-121700-vsb-fault-cnn-lstm-main-cnn-lstm,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260325-121700-vsb-fault-cnn-lstm-main-cnn-lstm,/Users/orange/Desktop/OTHER/graduation_project/electronic-diagnoise/artifacts/prepared_vsb_fault_cnn_lstm,vsb_powerline_fault,vsb_fault_cnn_lstm_main,target,cnn_lstm,cnn_lstm,dl,42,f1,0.5393939393939394,precision,0.5391705069124424,0.7894736842105263,0.5393939393939394,0.5393939393939394,0.0,0.5391705069124424,0.580952380952381,0.55,possible_overfit_gap=0.151,mps,0.11985153256704983
run-20260325-121843-vsb-fault-transformer-1d-main-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260325-121843-vsb-fault-transformer-1d-main-transformer-1d,/Users/orange/Desktop/OTHER/graduation_project/electronic-diagnoise/artifacts/prepared_vsb_fault_transformer_1d,vsb_powerline_fault,vsb_fault_transformer_1d_main,target,transformer_1d,transformer_1d,dl,42,f1,0.47222222222222227,precision,0.4594594594594595,0.8947368421052632,0.47222222222222227,0.47222222222222227,0.0,0.4594594594594595,0.4857142857142857,0.6,possible_overfit_gap=0.112,mps,-0.010895593869731823
